Designator,Mid X,Mid Y,Rotation,Layer
TP15,93.3725,30.814001,270.0,top
TP16,114.6225,34.564001,180.0,top
TP2,11.0,-23.25,90.0,top
TP3,140.25,41.0,90.0,top
TP4,140.25,46.75,90.0,top
TP5,94.877499,73.314001,180.0,top
TP6,111.377499,59.814001,180.0,top
TP7,112.377499,73.314001,180.0,top
TP8,120.377499,67.25,180.0,top
TP9,136.877499,53.75,180.0,top
U1,50.25,-19.25,270.0,top
U10,91.877499,83.314,90.0,top
U11,118.75,77.749999,90.0,top
U12,108.3725,32.564001,180.0,top
U13,95.0,47.52,90.0,top
U14,47.0,5.2,180.0,top
U15,63.25,5.225,180.0,top
U2,32.5,-12.35,180.0,top
U3,134.5,34.0,0.0,top
U4,96.5,3.075,90.0,top
U6,47.0,24.25,90.0,top
U7,63.25,24.25,90.0,top
U8,103.877499,66.814001,0.0,top
U9,129.377499,60.75,0.0,top
Y1,108.0,1.5,270.0,top
